BRD_CODE,BRD_DESC,BQTY,BRD_STN,BQTY_MCC,BQTY_VBCC,BQTY_PCC,BQTY_PDUM,BQTY_PRL8,BQTY_PRL4,BQTY_DUM,BCMP_CST,BDOT_CST,BCGL_CST,BPGL_CST,BPFB_CST,BMFB_CST,BLFB_CST,BWRG_CST,BLWRG_CST,BBB_CST,BCBB_CST,BSPC_CST,BUNP,BFRG,BMLPF,BERTC,BTOTAL,BHBB_RTNG,BRD_TYPE,PN_PHS,PN_CODE,BCBB_QTY,FRO_ACCS
B0001,PCC-1,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,3200,D,T,1BD32,3,N
B0002,PCC-2,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,3200,D,T,1BD32,3,N
B0003,PCC-3,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1600,D,T,1BD16,3,N
B0004,CTG MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1600,D,T,2BD16,3,N
B0005,HRSG & AUXILIARY MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1600,D,T,2BD16,3,N
B0006,D M PLANT MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0007,C W MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0008,STG AUXILIARY MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0009,F.O. MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0010,A/C & VENTILATION MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0011,STATION MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0012,F.F MCC (EXPANSION SITE),1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0013,F.O MCC (C-PLOT),1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0014,MLDB-1,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,F,T,2BF14,1,N
B0015,MLDB-2,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,F,T,2BF14,1,N
B0016,MLDB-3,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,F,T,2BF14,1,N
B0017,MLDB-4,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,F,T,2BF14,1,N
B0018,EMLDB,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,F,T,2BF14,1,N
B0019,DCDB,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,F,T,2BF14,1,N
B0020,VENT FAN DBS,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,F,T,2BF14,1,N
B0021,F.O MCC (C-PLOT),1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1250,D,T,2BD14,3,N
B0001,PCC-1,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,3200,D,T,1BD32,3,N
B0002,PCC-2,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,3200,D,T,1BD32,3,N
B0003,PCC-3,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1600,D,T,1BD16,3,N
B0004,CTG MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1600,D,T,2BD16,3,N
B0005,HRSG & AUXILIARY MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1600,D,T,2BD16,3,N
B0006,D M PLANT MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0007,C W MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0008,STG AUXILIARY MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0009,F.O. MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0010,A/C & VENTILATION MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0011,STATION MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0012,F.F MCC (EXPANSION SITE),1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0013,F.O MCC (C-PLOT),1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0014,MLDB-1,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,F,T,2BF14,1,N
B0015,MLDB-2,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,F,T,2BF14,1,N
B0016,MLDB-3,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,F,T,2BF14,1,N
B0017,MLDB-4,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,F,T,2BF14,1,N
B0018,EMLDB,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,F,T,2BF14,1,N
B0019,DCDB,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,F,T,2BF14,1,N
B0020,VENT FAN DBS,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,F,T,2BF14,1,N
B0021,F.O MCC (C-PLOT),1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1250,D,T,2BD14,3,N
B0001,PCC-1,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,3200,D,T,1BD32,3,N
B0001,PCC-1,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,3200,D,T,1BD32,3,N
B0002,PCC-2,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,3200,D,T,1BD32,3,N
B0002,PCC-2,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,3200,D,T,1BD32,3,N
B0003,PCC-3,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1600,D,T,1BD16,3,N
B0003,PCC-3,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1600,D,T,1BD16,3,N
B0004,CTG MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1600,D,T,2BD16,3,N
B0004,CTG MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1600,D,T,2BD16,3,N
B0005,HRSG & AUXILIARY MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1600,D,T,2BD16,3,N
B0005,HRSG & AUXILIARY MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1600,D,T,2BD16,3,N
B0006,D M PLANT MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0006,D M PLANT MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0007,C W MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0007,C W MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0008,STG AUXILIARY MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0008,STG AUXILIARY MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0009,F.O. MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0009,F.O. MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0010,A/C & VENTILATION MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0010,A/C & VENTILATION MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0011,STATION MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0011,STATION MCC,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0012,F.F MCC (EXPANSION SITE),1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0012,F.F MCC (EXPANSION SITE),1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0013,F.O MCC (C-PLOT),1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0013,F.O MCC (C-PLOT),1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,D,T,2BD14,3,N
B0014,MLDB-1,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,F,T,2BF14,1,N
B0014,MLDB-1,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,F,T,2BF14,1,N
B0015,MLDB-2,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,F,T,2BF14,1,N
B0015,MLDB-2,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,F,T,2BF14,1,N
B0016,MLDB-3,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,F,T,2BF14,1,N
B0016,MLDB-3,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,F,T,2BF14,1,N
B0017,MLDB-4,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,F,T,2BF14,1,N
B0017,MLDB-4,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,F,T,2BF14,1,N
B0018,EMLDB,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,F,T,2BF14,1,N
B0018,EMLDB,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,F,T,2BF14,1,N
B0019,DCDB,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,F,T,2BF14,1,N
B0019,DCDB,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,F,T,2BF14,1,N
B0020,VENT FAN DBS,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,F,T,2BF14,1,N
B0020,VENT FAN DBS,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1000,F,T,2BF14,1,N
B0021,F.O MCC (C-PLOT),1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1250,D,T,2BD14,3,N
B0021,F.O MCC (C-PLOT),1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1250,D,T,2BD14,3,N
B0001,PCC-1,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,3200,D,T,1BD32,3,N
B0001,PCC-1,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,3200,D,T,1BD32,3,N
B0001,PCC-1,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,3200,D,T,1BD32,3,N
B0001,PCC-1,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,3200,D,T,1BD32,3,N
B0002,PCC-2,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,3200,D,T,1BD32,3,N
B0002,PCC-2,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,3200,D,T,1BD32,3,N
B0002,PCC-2,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,3200,D,T,1BD32,3,N
B0002,PCC-2,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,3200,D,T,1BD32,3,N
B0003,PCC-3,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1600,D,T,1BD16,3,N
B0003,PCC-3,1,STAN,,,,,,,,,,,,,,,,,,,,,,,,,1600,D,T,1BD16,3,N
