BB_CODE,BB_PRIC,BB_OLD,BS_PRIC,BPVC_PRIC
ADMH0400,493.33,470.92,126.00,7.99
ADMH0630,986.67,939.01,126.00,13.74
ADMH0800,986.67,939.01,126.00,13.74
ADMH1000,986.67,939.01,126.00,13.74
ADMH1250,1481.67,1410.10,126.00,13.74
ADMH1600,2456.67,2338.02,179.00,50.41
ADMH2000,3275.00,3116.83,196.00,64.16
ADMH2500,3275.00,3116.83,196.00,64.16
ADMH3200,4913.33,4676.04,290.00,96.24
ADMV0400,1396.67,1329.22,1007.50,64.94
ADMV0630,1396.67,1329.22,1007.50,59.61
ADMV0800,6616.67,6297.12,1007.50,59.61
ADMV1000,6616.67,6297.12,1007.50,59.61
ADMV1250,7823.33,7445.50,1007.50,73.19
ADMV1600,9663.33,9196.64,1355.00,77.47
ADMV2000,13171.67,12535.53,1415.50,88.20
ADMV2500,13171.67,12535.53,1415.50,88.20
ADMV3200,19933.33,18970.64,1415.50,88.28
ADPH0400,526.67,501.23,126.00,15.50
ADPH0630,1051.67,1000.88,126.00,15.50
ADPH0800,1051.67,1000.88,126.00,15.50
ADPH1000,1051.67,1000.88,126.00,15.50
ADPH1250,1580.00,1503.70,126.00,33.50
ADPH1600,2591.67,2466.50,138.50,54.00
ADPH2000,3155.00,3002.62,266.50,67.50
ADPH2500,3155.00,3002.62,266.50,67.50
ADPH3200,4735.00,4506.32,400.50,100.00
ADPV0400,3537.50,2693.33,1038.00,64.50
ADPV0630,4200.00,3197.72,1038.00,67.50
ADPV0800,4200.00,3197.72,1038.00,67.50
ADPV1000,7066.67,5380.30,1038.00,75.00
ADPV1250,10602.08,8072.03,1038.00,193.50
ADPV1600,14329.17,10909.69,1194.50,362.00
ADPV2000,17112.50,13028.83,1766.00,787.00
ADPV2500,17112.50,13028.83,1766.00,787.00
ADPV3200,26845.83,20439.44,1708.00,1105.00
ANMH0400,1018.33,969.16,252.00,15.98
ANMH0630,1728.33,1644.87,252.00,27.47
ANMH0800,1728.33,1644.87,252.00,27.47
ANMH1000,1728.33,1644.87,252.00,27.47
ANMH1250,2713.33,2582.29,252.00,27.47
ANMH1600,4503.33,4285.83,358.00,100.82
ANMH2000,5731.67,5454.85,392.00,128.32
ANMH2500,5731.67,5454.85,392.00,128.32
ANMH3200,8598.33,8183.07,580.00,192.48
ANMV0400,2746.67,2614.02,2015.00,129.87
ANMV0630,2746.67,2614.02,2015.00,119.21
ANMV0800,12921.67,12297.60,2015.00,119.21
ANMV1000,12921.67,12297.60,2015.00,119.21
ANMV1250,13920.00,13247.72,2015.00,146.37
ANMV1600,16330.00,15541.33,2710.00,154.93
ANMV2000,21926.67,20867.70,2831.00,176.40
ANMV2500,21926.67,20867.70,2831.00,176.40
ANMV3200,30750.00,29264.90,2831.00,176.56
ANPH0400,1033.33,983.43,252.00,31.00
ANPH0630,1816.67,1728.93,252.00,31.00
ANPH0800,1816.67,1728.93,252.00,31.00
ANPH1000,1816.67,1728.93,252.00,31.00
ANPH1250,2848.33,2710.77,252.00,67.00
ANPH1600,4705.00,4477.77,277.00,108.00
ANPH2000,5143.33,4894.94,533.00,135.00
ANPH2500,5143.33,4894.94,533.00,135.00
ANPH3200,7716.67,7343.99,801.00,200.00
ANPV0400,5743.75,4373.08,2076.00,129.00
ANPV0630,6300.00,4796.59,2076.00,135.00
ANPV0800,6300.00,4796.59,2076.00,135.00
ANPV1000,11410.42,8687.47,2076.00,150.00
ANPV1250,17118.75,13033.59,2076.00,387.00
ANPV1600,24710.42,18813.60,2389.00,724.00
ANPV2000,25668.75,19543.24,3532.00,1574.00
ANPV2500,25668.75,19543.24,3532.00,1574.00
ANPV3200,40270.83,30660.73,3416.00,2210.00
ATMH0400,740.00,704.26,189.00,791.24
ATMH0630,1481.67,1410.10,189.00,1242.38
ATMH0800,1481.67,1410.10,189.00,1242.38
ATMH1000,1481.67,1410.10,189.00,1242.38
ATMH1250,2221.67,2114.37,189.00,1832.16
ATMH1600,3685.00,3507.03,268.50,2867.07
ATMH2000,4913.33,4676.04,294.00,3599.96
ATMH2500,4913.33,4676.04,294.00,3599.96
ATMH3200,7370.00,7014.06,435.00,5394.60
ATMV0400,2095.00,1993.83,1511.25,97.40
ATMV0630,2095.00,1993.83,1511.25,89.41
ATMV0800,9925.00,9445.67,1511.25,89.41
ATMV1000,9925.00,9445.67,1511.25,89.41
ATMV1250,11733.33,11166.66,1511.25,109.78
ATMV1600,14495.00,13794.95,2032.50,116.20
ATMV2000,19758.33,18804.08,2123.25,132.30
ATMV2500,19758.33,18804.08,2123.25,132.30
ATMV3200,29898.33,28454.36,2123.25,132.42
ATPH0400,785.00,747.09,189.00,23.25
ATPH0630,1570.00,1494.19,189.00,23.25
ATPH0800,1570.00,1494.19,189.00,23.25
ATPH1000,1570.00,1494.19,189.00,23.25
ATPH1250,2355.00,2241.26,189.00,50.25
ATPH1600,3886.67,3698.97,207.75,81.00
ATPH2000,4735.00,4506.32,399.75,101.25
ATPH2500,4735.00,4506.32,399.75,101.25
ATPH3200,7101.67,6758.69,600.75,150.00
ATPV0400,5306.25,4039.98,1557.00,96.75
ATPV0630,5689.58,4331.84,1557.00,101.25
ATPV0800,5689.58,4331.84,1557.00,101.25
ATPV1000,10602.08,8072.03,1557.00,112.50
ATPV1250,15904.17,12108.85,1557.00,290.25
ATPV1600,21495.83,16366.14,1791.75,543.00
ATPV2000,24860.42,18927.80,2649.00,1180.50
ATPV2500,24860.42,18927.80,2649.00,1180.50
ATPV3200,39035.42,29720.14,2562.00,1657.50
CDMH0400,4145.81,4372.57,126.00,7.99
CDMH0630,4145.81,4372.57,126.00,7.99
CDMH0800,4978.26,5250.55,126.00,7.99
CDMH1000,8294.90,8748.61,126.00,13.74
CDMH1250,8294.90,8748.61,126.00,13.74
CDMH1600,9953.23,10497.65,126.00,13.74
CDMH2000,12440.71,13121.18,126.00,13.74
CDMH2500,16586.52,13121.18,179.00,50.41
CDMH3200,16586.52,17493.76,196.00,64.16
CDMV0400,10229.61,10789.15,1007.50,64.94
CDMV0630,10229.61,10789.15,1007.50,64.94
CDMV0800,13638.39,14384.38,1007.50,64.94
CDMV1000,13638.39,14384.38,1007.50,59.61
CDMV1250,40128.77,42323.73,1007.50,59.61
CDMV1600,55379.42,58408.55,1007.50,59.61
CDMV2000,83695.94,88273.95,1007.50,73.19
CDMV2500,89124.97,88273.95,1355.00,77.47
CDMV3200,89124.97,93999.93,1415.50,88.20
CDPH0400,3392.32,3577.87,126.00,15.50
CDPH0630,3392.32,3577.87,126.00,15.50
CDPH0800,4073.42,4296.23,126.00,15.50
CDPH1000,6787.94,7159.21,126.00,15.50
CDPH1250,6787.94,7159.21,126.00,15.50
CDPH1600,8146.84,8592.44,126.00,15.50
CDPH2000,10183.55,10740.57,126.00,33.50
CDPH2500,13575.87,10740.57,138.50,54.00
CDPH3200,13575.87,14318.44,266.50,67.50
CDPV0400,26713.31,22539.57,1038.00,64.50
CDPV0630,26713.31,22539.57,1038.00,64.50
CDPV0800,33396.77,28178.80,1038.00,64.50
CDPV1000,50160.97,42323.73,1038.00,67.50
CDPV1250,50160.97,42323.73,1038.00,67.50
CDPV1600,69224.27,58408.55,1038.00,75.00
CDPV2000,104619.92,88273.95,1038.00,193.50
CDPV2500,111406.21,88273.95,1194.50,362.00
CDPV3200,111406.21,93999.93,1766.00,787.00
CNMH0400,8219.23,8668.80,252.00,15.98
CNMH0630,8219.23,8668.80,252.00,15.98
CNMH0800,9953.23,10497.65,252.00,15.98
CNMH1000,14510.32,15304.02,252.00,27.47
CNMH1250,14510.32,15304.02,252.00,27.47
CNMH1600,17412.39,18364.81,252.00,27.47
CNMH2000,22805.23,24052.62,252.00,27.47
