MODU_CODE,NO_OF_CLAS,CLASS1,CLASS2,CLASS3,CLASS4,CLASS5,CLASS6,CLASS7,CLASS8,CLASS9,CLASS10,CLASS11,CLASS12
1030F,4,01,02,03,04,,,,,,,,
1060F,4,01,02,03,04,,,,,,,,
1100F,4,01,02,03,04,,,,,,,,
1101F,4,01,02,03,04,,,,,,,,
1121F,4,01,02,03,04,,,,,,,,
1200F,4,01,02,03,04,,,,,,,,
1225F,4,01,02,03,04,,,,,,,,
1250F,4,01,02,03,04,,,,,,,,
1400F,4,01,02,03,04,,,,,,,,
1600F,4,01,02,03,04,,,,,,,,
1800F,4,01,02,03,04,,,,,,,,
2030F,1,01,,,,,,,,,,,
2060F,1,01,,,,,,,,,,,
2100F,1,01,,,,,,,,,,,
2101F,1,01,,,,,,,,,,,
2121F,1,01,,,,,,,,,,,
2200F,1,01,,,,,,,,,,,
2225F,1,01,,,,,,,,,,,
2250F,1,01,,,,,,,,,,,
2400F,1,01,,,,,,,,,,,
2600F,1,01,,,,,,,,,,,
2800F,1,01,,,,,,,,,,,
3030F,4,01,02,03,04,,,,,,,,
3060F,3,01,03,04,,,,,,,,,
3100F,3,01,03,04,,,,,,,,,
3101F,3,01,03,04,,,,,,,,,
3121F,3,01,03,04,,,,,,,,,
3200F,3,01,03,04,,,,,,,,,
3225F,3,01,03,04,,,,,,,,,
3250F,3,01,03,04,,,,,,,,,
3400F,3,01,03,04,,,,,,,,,
3600F,3,01,03,04,,,,,,,,,
3800F,3,01,03,04,,,,,,,,,
A101D,8,31,32,33,34,41,42,43,44,,,,
A101F,8,35,36,37,38,45,46,47,48,,,,
A126D,8,31,32,33,34,41,42,43,44,,,,
A126F,8,35,36,37,38,45,46,47,48,,,,
A161D,8,31,32,33,34,41,42,43,44,,,,
A161F,8,35,36,37,38,45,46,47,48,,,,
A201D,8,31,32,33,34,41,42,43,44,,,,
A201F,8,35,36,37,38,45,46,47,48,,,,
A251D,8,31,32,33,34,41,42,43,44,,,,
A251F,8,35,36,37,38,45,46,47,48,,,,
A321D,8,31,32,33,34,41,42,43,44,,,,
A321F,8,35,36,37,38,45,46,47,48,,,,
A401D,8,31,32,33,34,41,42,43,44,,,,
A401F,8,35,36,37,38,45,46,47,48,,,,
A630D,8,31,32,33,34,41,42,43,44,,,,
A630F,8,35,36,37,38,45,46,47,48,,,,
A800D,8,31,32,33,34,41,42,43,44,,,,
A800F,8,35,36,37,38,45,46,47,48,,,,
B101D,8,31,32,33,34,41,42,43,44,,,,
B101F,8,35,36,37,38,45,46,47,48,,,,
B126D,8,31,32,33,34,41,42,43,44,,,,
B126F,8,35,36,37,38,45,46,47,48,,,,
B161D,8,31,32,33,34,41,42,43,44,,,,
B161F,8,35,36,37,38,45,46,47,48,,,,
B201D,8,31,32,33,34,41,42,43,44,,,,
B201F,8,35,36,37,38,45,46,47,48,,,,
B251D,8,31,32,33,34,41,42,43,44,,,,
B251F,8,35,36,37,38,45,46,47,48,,,,
B321D,8,31,32,33,34,41,42,43,44,,,,
B321F,8,35,36,37,38,45,46,47,48,,,,
B401D,8,31,32,33,34,41,42,43,44,,,,
B401F,8,35,36,37,38,45,46,47,48,,,,
B630D,8,31,32,33,34,41,42,43,44,,,,
B630F,8,35,36,37,38,45,46,47,48,,,,
B800D,8,31,32,33,34,41,42,43,44,,,,
B800F,8,35,36,37,38,45,46,47,48,,,,
C101D,8,31,32,33,34,41,42,43,44,,,,
C101F,8,35,36,37,38,45,46,47,48,,,,
C126D,8,31,32,33,34,41,42,43,44,,,,
C126F,8,35,36,37,38,45,46,47,48,,,,
C161D,8,31,32,33,34,41,42,43,44,,,,
C161F,8,35,36,37,38,45,46,47,48,,,,
C201D,8,31,32,33,34,41,42,43,44,,,,
C201F,8,35,36,37,38,45,46,47,48,,,,
C251D,8,31,32,33,34,41,42,43,44,,,,
C251F,8,35,36,37,38,45,46,47,48,,,,
C321D,8,31,32,33,34,41,42,43,44,,,,
C321F,8,35,36,37,38,45,46,47,48,,,,
C401D,8,31,32,33,34,41,42,43,44,,,,
C401F,8,35,36,37,38,45,46,47,48,,,,
C630D,8,31,32,33,34,41,42,43,44,,,,
C630F,8,35,36,37,38,45,46,47,48,,,,
C800D,8,31,32,33,34,41,42,43,44,,,,
C800F,8,35,36,37,38,45,46,47,48,,,,
D003F,3,01,02,03,,,,,,,,,
D006F,3,01,02,03,,,,,,,,,
D011F,3,01,02,03,,,,,,,,,
D012F,3,01,02,03,,,,,,,,,
D013F,3,01,02,03,,,,,,,,,
D015F,3,01,02,03,,,,,,,,,
D018F,5,02,03,04,05,06,,,,,,,
D022F,5,02,03,04,05,06,,,,,,,
D026F,5,02,03,04,05,06,,,,,,,
D030F,5,02,03,04,05,06,,,,,,,
D033F,5,02,03,04,05,06,,,,,,,
D037F,5,02,03,04,05,06,,,,,,,
D044F,5,02,03,04,05,06,,,,,,,
D055F,5,02,03,04,05,06,,,,,,,
D060F,5,02,03,04,05,06,,,,,,,
D075F,5,02,03,04,05,06,,,,,,,
D090F,5,02,03,04,05,06,,,,,,,
D095F,5,02,03,04,05,06,,,,,,,
D110F,5,02,03,04,05,06,,,,,,,
D132F,5,02,03,04,05,06,,,,,,,
D150F,5,02,03,04,05,06,,,,,,,
D160F,5,02,03,04,05,06,,,,,,,
D168F,5,02,03,04,05,06,,,,,,,
D185F,5,02,03,04,05,06,,,,,,,
D1P1F,3,01,02,03,,,,,,,,,
D1P3F,3,01,02,03,,,,,,,,,
D1P5F,3,01,02,03,,,,,,,,,
D1P8F,3,01,02,03,,,,,,,,,
D2P2F,3,01,02,03,,,,,,,,,
D3P7F,3,01,02,03,,,,,,,,,
D4P6F,3,01,02,03,,,,,,,,,
D5P5F,3,01,02,03,,,,,,,,,
D6P5F,3,01,02,03,,,,,,,,,
D7P5F,3,01,02,03,,,,,,,,,
D9P3F,3,01,02,03,,,,,,,,,
DP12F,3,01,02,03,,,,,,,,,
DP18F,3,01,02,03,,,,,,,,,
DP25F,3,01,02,03,,,,,,,,,
DP37F,3,01,02,03,,,,,,,,,
DP55F,3,01,02,03,,,,,,,,,
DP75F,3,01,02,03,,,,,,,,,
DP92F,3,01,02,03,,,,,,,,,
F032F,1,01,,,,,,,,,,,
F063F,1,01,,,,,,,,,,,
F125F,1,01,,,,,,,,,,,
F250F,1,01,,,,,,,,,,,
F400F,1,01,,,,,,,,,,,
F630F,1,01,,,,,,,,,,,
F800F,1,01,,,,,,,,,,,
H003F,3,01,02,03,,,,,,,,,
H006F,3,01,02,03,,,,,,,,,
H011F,3,01,02,03,,,,,,,,,
H013F,3,01,02,03,,,,,,,,,
H015F,3,01,02,03,,,,,,,,,
H018F,4,01,02,03,04,,,,,,,,
H022F,4,01,02,03,04,,,,,,,,
H026F,4,01,02,03,04,,,,,,,,
H033F,5,01,02,03,04,33,,,,,,,
H037F,4,01,02,03,04,,,,,,,,
H044F,4,01,02,03,04,,,,,,,,
H055F,4,01,02,03,04,,,,,,,,
H060F,4,01,02,03,04,,,,,,,,
H075F,4,01,02,03,04,,,,,,,,
H095F,4,01,02,03,04,,,,,,,,
H110F,4,01,02,03,04,,,,,,,,
H132F,4,01,02,03,04,,,,,,,,
H150F,4,01,02,03,04,,,,,,,,
H168F,4,01,02,03,04,,,,,,,,
H1P5F,3,01,02,03,,,,,,,,,
H3P7F,3,01,02,03,,,,,,,,,
H4P6F,3,01,02,03,,,,,,,,,
H7P5F,3,01,02,03,,,,,,,,,
H9P3F,3,01,02,03,,,,,,,,,
HP92F,3,01,02,03,,,,,,,,,
I040F,4,01,02,03,04,,,,,,,,
I063F,4,01,02,03,04,,,,,,,,
I101F,4,01,02,03,04,,,,,,,,
I125F,4,01,02,03,04,,,,,,,,
I126F,4,01,02,03,04,,,,,,,,
I161F,4,01,02,03,04,,,,,,,,
I200F,4,01,02,03,04,,,,,,,,
I250F,4,01,02,03,04,,,,,,,,
I400F,4,01,02,03,04,,,,,,,,
I630F,4,01,02,03,04,,,,,,,,
I800F,4,01,02,03,04,,,,,,,,
L040F,4,01,02,03,04,,,,,,,,
L063F,3,01,03,04,,,,,,,,,
L101F,3,01,03,04,,,,,,,,,
L125F,3,01,03,04,,,,,,,,,
L126F,3,01,03,04,,,,,,,,,
L161F,3,01,03,04,,,,,,,,,
L200F,3,01,03,04,,,,,,,,,
L250F,3,01,03,04,,,,,,,,,
L400F,3,01,03,04,,,,,,,,,
L630F,3,01,03,04,,,,,,,,,
L800F,3,01,03,04,,,,,,,,,
O040F,1,01,,,,,,,,,,,
O063F,1,01,,,,,,,,,,,
O101F,1,01,,,,,,,,,,,
O125F,1,01,,,,,,,,,,,
O126F,1,01,,,,,,,,,,,
O161F,1,01,,,,,,,,,,,
O200F,1,01,,,,,,,,,,,
O250F,1,01,,,,,,,,,,,
O400F,1,01,,,,,,,,,,,
