TYPE,WIDTH,HEIGHT,DEPTH
E1,200,200,150
E2,200,365,150
E3,365,365,150
F1,490,255,250
F2,490,340,250
F3,490,510,250
F4,490,680,250
F5,490,765,250
F6,490,1020,250
FA1,730,685,250
FA2,730,770,250
FA3,730,1025,250
FA4,730,1280,250
FA5,730,1535,250
FA6,730,1790,325
FA7,730,2045,400
FA8,730,2450,500
G1,610,575,325
G2,610,685,325
G3,610,770,325
G4,730,1025,325
G5,730,1280,325
G6,730,1535,325
G7,730,1790,325
G8,730,2045,400
H1,730,1075,325
H2,730,1330,500
H3,730,1585,500
H4,730,1840,500
H5,730,2095,500
H6,730,2450,500
TH2,730,1330,700
TH3,730,1585,700
TH4,730,1840,700
TH5,730,2095,700
TH6,730,2450,700
K2,1050,1330,500
K3,1050,1585,500
K4,1050,1840,500
K5,1050,2095,500
K6,1050,2450,500
TK2,1050,1330,700
TK3,1050,1585,700
TK4,1050,1840,700
TK5,1050,2095,700
TK6,1050,2450,700
L2,900,1330,700
L3,900,1585,700
L4,900,1840,700
L5,900,2095,700
L6,900,2450,700
N1,900,1300,400
N2,1400,1300,400
N3,1400,2065,400
P1,780,1330,500
P2,780,1585,500
P3,780,1840,500
Q1,780,1330,750
Q2,900,1330,750
Q3,1400,1840,750
