COMP_CODE,COMP_CONM,COMP_NAME,COMP_RAT,COMP_CLAS,COMP_CLAS1,COMP_CLAS2,OLD_PRIC,NEW_PRIC,COMP_PRIC,CURR_JUN06,COMP_DESC,COMP_PRNT,JUN06
ABTR00CU,ABB,CURRENT TRANSDUCER,,CURRENT,,,4370.00,0.00,4370.00,3800.00,CURRENT,CURRENT TRANSDUCER,0.00
ABTR00PF,ABB,POWER FACTOR TRANSDUCER,,GTU-221,,,7992.50,0.00,7992.50,6950.00,POWER FACTOR TRANSDUCER,POWER FACTOR TRANSDUCER,0.00
ABTR00VO,ABB,VOLTAGE TRANSDUCER,,VOLTAGE,GTU-101,,4140.00,0.00,4140.00,3600.00,VOLTAGE,VOLTAGE TRANSDUCER,0.00
ABTR01PT,ABB,POWER TRANSDUCER,,POWER TRANSDUCER,GTU-259,,12305.00,0.00,12305.00,10700.00,POWER TRANSDUCER,POWER TRANSDUCER,0.00
ABTR02PT,ABB,POWER TRANSDUCER,,POWER FACTOR,GTU-253,,9372.50,0.00,9372.50,8150.00,POWER TRANSDUCER,POWER TRANSDUCER,0.00
ABTR03PT,ABB,POWER TRANSDUCER,,POWER FACTOR,GTU-257,,11615.00,0.00,11615.00,10100.00,POWER TRANSDUCER,POWER TRANSDUCER,0.00
AEAM21AL,AE,AMMETER,"240 DEG. SCALE,144x144 mmi","AC,LINEAR SCALE",,,1219.00,1060.00,1219.00,1060.00,"240 D,144mmi AC,LIN",AMMETER,0.00
AEAM21AS,AE,AMMETER,"240 DEG. SCALE,144x144 mmi","AC,SUPPRESSED SCALE",,,1276.50,1110.00,1276.50,1110.00,"240 D,144mmi AC,SUP",AMMETER,0.00
AEAM21DL,AE,AMMETER,"240 DEG. SCALE,144x144 mmi","DC,LINEAR SCALE",,,1138.50,990.00,1138.50,990.00,"240 D,144mmi DC,LIN",AMMETER,0.00
AEAM27AL,AE,AMMETER,"240 DEG. SCALE,72x72 mmi","AC,LINEAR SCALE",,,1000.50,870.00,1000.50,870.00,"240 D, 72mmi AC,LIN",AMMETER,0.00
AEAM27AS,AE,AMMETER,"240 DEG. SCALE,72x72 mmi","AC,SUPPRESSED SCALE",,,1058.00,920.00,1058.00,920.00,"240 D, 72mmi AC,SUP",AMMETER,0.00
AEAM27DL,AE,AMMETER,"240 DEG. SCALE,72x72 mmi","DC,LINEAR SCALE",,,908.50,790.00,908.50,790.00,"240 D, 72mmi DC,LIN",AMMETER,0.00
AEAM29AL,AE,AMMETER,"240 DEG. SCALE,96x96 mmi","AC,LINEAR SCALE",,,1046.50,910.00,1046.50,910.00,"240 D, 96mmi AC,LIN",AMMETER,0.00
AEAM29AS,AE,AMMETER,"240 DEG. SCALE,96x96 mmi","AC,SUPPRESSED SCALE",,,1104.00,960.00,1104.00,960.00,"240 D, 96mmi AC,SUP",AMMETER,0.00
AEAM29DL,AE,AMMETER,"240 DEG. SCALE,96x96 mmi","DC,LINEAR SCALE",,,977.50,850.00,977.50,850.00,"240 D, 96mmi DC,LIN",AMMETER,0.00
AEAM91AL,AE,AMMETER,90DEG.144x144 mmi,"AC,LINEAR SCALE",,,500.25,435.00,500.25,435.00,"90 D,144mmi AC,LIN",AMMETER,0.00
AEAM91AS,AE,AMMETER,90DEG.144x144 mmi,"AC,SUPPRESSED SCALE",,,523.25,455.00,523.25,455.00,"90 D,144mmi AC,SUP",AMMETER,0.00
AEAM91DL,AE,AMMETER,90DEG.144x144 mmi,"DC,LINEAR SCALE",SM-144,,943.00,990.00,943.00,820.00,"90 D,144mmi DC,LIN",AMMETER,0.00
AEAM97AL,AE,AMMETER,90DEG.72x72 mmi,"AC,LINEAR SCALE",,,391.00,280.00,391.00,340.00,"90 D, 72mmi AC,LIN",AMMETER,0.00
AEAM97AS,AE,AMMETER,90DEG.72x72 mmi,"AC,SUPPRESSED SCALE",,,414.00,295.00,414.00,360.00,"90 D, 72mmi AC,SUP",AMMETER,0.00
AEAM97DL,AE,AMMETER,90DEG.72x72 mmi,"DC,LINEAR SCALE",SM-72,,908.50,790.00,908.50,790.00,"90 D, 72mmi DC,LIN",AMMETER,0.00
AEAM99AL,AE,AMMETER,90DEG.96x96 mmi,"AC,LINEAR SCALE",,,494.50,325.00,494.50,430.00,"90 D, 96mmi AC,LIN",AMMETER,0.00
AEAM99AS,AE,AMMETER,90DEG.96x96 mmi,"AC,SUPPRESSED SCALE",,,517.50,340.00,517.50,450.00,"90 D, 96mmi AC,SUP",AMMETER,0.00
AEAM99DL,AE,AMMETER,90DEG.96x96 mmi,"DC,LINEAR SCALE",SM-96,,593.75,850.00,593.75,475.00,"90 D, 96mmi DC,LIN",AMMETER,0.00
AEAMDIAL,AE,AMMETER,DIGITAL,"AC,LINEAR SCALE",BUILT IN TRANSDUCER,,2312.50,1850.00,2312.50,1850.00,"DIGITAL AC,LINEAR",AMMETER,0.00
AEAMDIDL,AE,AMMETER,DIGITAL,"DC,LINEAR SCALE",20MA-2000MA DC-DIRECT,"75MV/100MV,USE WITH EXTERNAL SHUNT",1625.00,1300.00,1625.00,1300.00,"DIGITAL DC,LINEAR",AMMETER,0.00
AEFM2101,AE,FREQUENCY METER,"240 DEG, TAUT BAND,144 x144 mmi",SINGLE SCALE,,,1884.00,1570.00,1884.00,1570.00,"240 D,144mmi,1 SCALE",FREQUENCY METER,0.00
AEFM2901,AE,FREQUENCY METER,"240 DEG, TAUT BAND, 96 x 96 mmi",SINGLE SCALE,,,1812.00,1510.00,1812.00,1510.00,"240 D, 96mmi,1 SCALE",FREQUENCY METER,0.00
AEFMDI01,AE,FREQUENCY METER,DIGITAL,"DC,LINEAR SCALE",BUILT IN TRANSDUCER,"100HZ,110V OR 230V AC",2293.75,1835.00,2293.75,1835.00,DIGITAL,FREQUENCY METER,0.00
AEFMR101,AE,FREQUENCY METER,"REED TYPE (13 REEDS),144 x144 mmi",SINGLE SCALE,,,1020.00,850.00,1020.00,850.00,"13REED,144mmi,1SCALE",FREQUENCY METER,0.00
AEFMR102,AE,FREQUENCY METER,"REED TYPE (13 REEDS),144 x144 mmi",DOUBLE SCALE,,,2112.00,1760.00,2112.00,1760.00,"13REED,144mmi,2SCALE",FREQUENCY METER,0.00
AEFMR901,AE,FREQUENCY METER,"REED TYPE (13 REEDS),96 x 96 mmi",SINGLE SCALE,,,834.00,695.00,834.00,695.00,"13REED,96mmi,1SCALE",FREQUENCY METER,0.00
AEFMR902,AE,FREQUENCY METER,"REED TYPE (13 REEDS),96 x 96 mmi",DOUBLE SCALE,,,1650.00,1375.00,1650.00,1375.00,"13REED,96mmi,2SCALE",FREQUENCY METER,0.00
AEPF2101,AE,PF METER,"240 DEG. SCALE,144x144 mmi","110V,1 PHASE",,,4197.50,3650.00,4197.50,3650.00,"240 D,144mmi,110V,1PH",PF METER,0.00
AEPF2102,AE,PF METER,"240 DEG. SCALE,144x144 mmi","110V,3PHASE,3W",,,4197.50,3650.00,4197.50,3650.00,"240 D,144mmi,110V,3PH",PF METER,0.00
AEPF2103,AE,PF METER,"240 DEG. SCALE,144x144 mmi","110V,3PHASE,4W",,,4197.50,3650.00,4197.50,3650.00,"240 D,144mmi,110V,3PH",PF METER,0.00
AEPF2104,AE,PF METER,"240 DEG. SCALE,144x144 mmi","440V,1PHASE",DELETED IN PRICE LIST DTD.15.5.93,,4197.50,3650.00,4197.50,3650.00,"240 D,144mmi,440V,1PH",PF METER,0.00
AEPF2105,AE,PF METER,"240 DEG. SCALE,144x144 mmi","440V,3PHASE,3W",DELETED IN PRICE LIST DTD.15.5.93,,4197.50,3650.00,4197.50,3650.00,"240 D,144mmi,440V,3PH",PF METER,0.00
AEPF2106,AE,PF METER,"240 DEG. SCALE,144x144 mmi","440V,3PHASE,4W",DELETED IN PRICE LIST DTD.15.5.93,,4197.50,3650.00,4197.50,3650.00,"240 D,144mmi,440V,3PH",PF METER,0.00
AEPF2901,AE,PF METER,"240 DEG. SCALE,96x96 mmi","110V,1 PHASE",,,4048.00,3520.00,4048.00,3520.00,"240 D,96mmi,110V,1PH",PF METER,0.00
AEPF2902,AE,PF METER,"240 DEG. SCALE,96x96 mmi","110V,3PHASE,3W",,,4048.00,3520.00,4048.00,3520.00,"240 D,96mmi,110V,3PH",PF METER,0.00
AEPF2903,AE,PF METER,"240 DEG. SCALE,96x96 mmi","110V,3PHASE,4W",,,4048.00,3520.00,4048.00,3520.00,"240 D,96mmi,110V,3PH",PF METER,0.00
AEPF2904,AE,PF METER,"240 DEG. SCALE,96x96 mmi","440V,1PHASE",DELETED IN PRICE LIST DTD.15.5.93,,4048.00,3520.00,4048.00,3520.00,"240 D,96mmi,440V,1PH",PF METER,0.00
AEPF2905,AE,PF METER,"240 DEG. SCALE,96x96 mmi","440V,3PHASE,3W",DELETED IN PRICE LIST DTD.15.5.93,,4048.00,3520.00,4048.00,3520.00,"240 D,96mmi,440V,3PH",PF METER,0.00
AEPF2906,AE,PF METER,"240 DEG. SCALE,96x96 mmi","440V,3PHASE,4W",DELETED IN PRICE LIST DTD.15.5.93,,4048.00,3520.00,4048.00,3520.00,"240 D,96mmi,440V,3PH",PF METER,0.00
AEPF9101,AE,PF METER,"90 DEG. SCALE,144x144 mmi","110V,1 PHASE",SPF-144-1P-1E,,1863.00,1620.00,1863.00,1620.00,"90 D,144mmi,110V,1PH",PF METER,0.00
AEPF9102,AE,PF METER,"90 DEG. SCALE,144x144 mmi","110V,3PHASE,3W",SPF-144-3P-2E,,3105.00,2700.00,3105.00,2700.00,"90 D,144mmi,110V,3PH",PF METER,0.00
AEPF9103,AE,PF METER,"90 DEG. SCALE,144x144 mmi","110V,3PHASE,4W",SPF-144-3P-3E,,3921.50,3410.00,3921.50,3410.00,"90 D,144mmi,110V,3PH",PF METER,0.00
AEPF9104,AE,PF METER,"90 DEG. SCALE,144x144 mmi","440V,1PHASE",SPF-144-3P-1E,,2242.50,1950.00,2242.50,1950.00,"90 D,144mmi,440V,1PH",PF METER,0.00
AEPF9105,AE,PF METER,"90 DEG. SCALE,144x144 mmi","440V,3PHASE,3W",SPF-144-3P-2E,,3105.00,2700.00,3105.00,2700.00,"90D,144mmi,440V,3PH,3W",PF METER,0.00
AEPF9106,AE,PF METER,"90 DEG. SCALE,144x144 mmi","440V,3PHASE,4W",SPF-144-3P-3E,,3921.50,3410.00,3921.50,3410.00,"90D,144mmi,440V,3PH,4W",PF METER,0.00
AEPF9901,AE,PF METER,"90 DEG. SCALE,96x96 mmi","110V,1 PHASE",SPF-96-3P-1E,,2024.00,1760.00,2024.00,1760.00,"90D,96mmi,110V,1PH",PF METER,0.00
AEPF9902,AE,PF METER,"90 DEG. SCALE,96x96 mmi","110V,3PHASE,3W",SPF-96-3P-3E,,3576.50,3110.00,3576.50,3110.00,"90D,96mmi,110V,3PH,3W",PF METER,0.00
AEPF9903,AE,PF METER,"90 DEG. SCALE,96x96 mmi","110V,3PHASE,4W",SPF-96-3P-3E,,3576.50,3110.00,3576.50,3110.00,"90D,96mmi,110V,3PH,4W",PF METER,0.00
AEPF9904,AE,PF METER,"90 DEG. SCALE,96x96 mmi","440V,1PHASE",SPF-96-3P-1E,,1460.00,1460.00,1460.00,1460.00,"90D,96mmi,440V,1PH",PF METER,0.00
AEPF9905,AE,PF METER,"90 DEG. SCALE,96x96 mmi","440V,3PHASE,3W",SPF-96-3P-3E,,3576.50,3110.00,3576.50,3110.00,"90D,96mmi,440V,3PH,3W",PF METER,0.00
AEPF9906,AE,PF METER,"90 DEG. SCALE,96x96 mmi","440V,3PHASE,4W",SPF-96-3P-3E,,3576.50,3110.00,3576.50,3110.00,"90D,96mmi,440V,3PH,4W",PF METER,0.00
AEPFDI01,AE,PF METER,DIGITAL,"1 PH,3PH BALANCED LOAD",COMPLETE WITH EXTERNAL TRANSDUCER,"1A OR 5A,110V OR 230V",6210.00,5400.00,6210.00,5400.00,"DIGTAL 1PH,3PH BAL LOAD",PF METER,0.00
AEPI,AE,PHASE INDICATOR,,,,,660.00,550.00,660.00,550.00,50V-500V AC,PHASE INDICATOR,0.00
AESH11,AE,SHUNT,100A,,,,312.00,260.00,312.00,260.00,100A,SHUNT,0.00
AESH12,AE,SHUNT,1000A,,,,1656.00,1380.00,1656.00,1380.00,1000A,SHUNT,0.00
AESH14,AE,SHUNT,1200A,,,,2148.00,1790.00,2148.00,1790.00,1200A,SHUNT,0.00
AESH16,AE,SHUNT,150A,,,,378.00,315.00,378.00,315.00,150A,SHUNT,0.00
AESH17,AE,SHUNT,1500A,,,,2424.00,2020.00,2424.00,2020.00,1500A,SHUNT,0.00
AESH21,AE,SHUNT,200A,,,,582.00,485.00,582.00,485.00,200A,SHUNT,0.00
AESH22,AE,SHUNT,2000A,,,,3252.00,2710.00,3252.00,2710.00,2000A,SHUNT,0.00
AESH26,AE,SHUNT,250A,,,,624.00,520.00,624.00,520.00,250A,SHUNT,0.00
AESH27,AE,SHUNT,2500A,,,,3768.00,3140.00,3768.00,3140.00,2500A,SHUNT,0.00
AESH31,AE,SHUNT,300A,,,,690.00,575.00,690.00,575.00,300A,SHUNT,0.00
AESH32,AE,SHUNT,3000A,,,,4194.00,3495.00,4194.00,3495.00,3000A,SHUNT,0.00
AESH42,AE,SHUNT,4000A,,,,7278.00,6065.00,7278.00,6065.00,4000A,SHUNT,0.00
AESH50,AE,SHUNT,50A,,,,216.00,180.00,216.00,180.00,50A,SHUNT,0.00
AESH51,AE,SHUNT,500A,,,,954.00,795.00,954.00,795.00,500A,SHUNT,0.00
AESH52,AE,SHUNT,5000A,,,,12444.00,10370.00,12444.00,10370.00,5000A,SHUNT,0.00
AESH61,AE,SHUNT,600A,,,,1062.00,885.00,1062.00,885.00,600A,SHUNT,0.00
AESH62,AE,SHUNT,6000A,,,,13596.00,11330.00,13596.00,11330.00,6000A,SHUNT,0.00
AESH75,AE,SHUNT,75A,,,,234.00,195.00,234.00,195.00,75A,SHUNT,0.00
AESH76,AE,SHUNT,750A,,,,1188.00,990.00,1188.00,990.00,750A,SHUNT,0.00
AESH77,AE,SHUNT,7500A,,,,17460.00,14550.00,17460.00,14550.00,7500A,SHUNT,0.00
AESY0101,AE,SYNCHRONOSCOPE,144x144mmi,110V,144-DFS,,2904.00,2420.00,2904.00,2420.00,"144x144mmi, 110V",SYNCHRONOSCOPE,0.00
AESY0102,AE,SYNCHRONOSCOPE,144x144mmi,440V,,,3234.00,2420.00,3234.00,2695.00,"144x144mmi, 440V",SYNCHRONOSCOPE,0.00
AESY0901,AE,SYNCHRONOSCOPE,96x96mmi,110V,,,2520.00,2100.00,2520.00,2100.00,"96x96mmi, 110V",SYNCHRONOSCOPE,0.00
AESY0902,AE,SYNCHRONOSCOPE,96x96mmi,440V,,,2850.00,2100.00,2850.00,2375.00,"96x96mmi, 440V",SYNCHRONOSCOPE,0.00
AETR00CU,AE,CURRENT TRANSDUCER,,CURRENT,,,5208.00,0.00,5208.00,4340.00,CURRENT,CURRENT TRANSDUCER,0.00
