COMP_CODE,COMP_CONM,COMP_NAME,COMP_DESC,COMP_PRIC,COMP_DIS
ABTR00CU,ABB,CURRENT TRANSDUCER,CURRENT,3800,3975
ABTR00PF,ABB,POWER FACTOR TRANSDUCER,POWER FACTOR TRANSDUCER,6950,7270
ABTR00VO,ABB,VOLTAGE TRANSDUCER,VOLTAGE,3600,3766
ABTR01PT,ABB,POWER TRANSDUCER,POWER TRANSDUCER,10700,11192
ABTR02PT,ABB,POWER TRANSDUCER,POWER TRANSDUCER,8150,8525
ABTR03PT,ABB,POWER TRANSDUCER,POWER TRANSDUCER,10100,10565
AEAM21AL,AE,AMMETER,"240 D,144mmsq AC,LIN",960,778
AEAM21AS,AE,AMMETER,"240 D,144mmsq AC,SUP",1000,811
AEAM21DL,AE,AMMETER,"240 D,144mmsq DC,LIN",900,730
AEAM27AL,AE,AMMETER,"240 D, 72mmsq AC,LIN",790,640
AEAM27AS,AE,AMMETER,"240 D, 72mmsq AC,SUP",830,673
AEAM27DL,AE,AMMETER,"240 D, 72mmsq DC,LIN",720,584
AEAM29AL,AE,AMMETER,"240 D, 96mmsq AC,LIN",830,673
AEAM29AS,AE,AMMETER,"240 D, 96mmsq AC,SUP",870,705
AEAM29DL,AE,AMMETER,"240 D, 96mmsq DC,LIN",770,624
AEAM91AL,AE,AMMETER,"90 D,144mmsq AC,LIN",395,320
AEAM91AS,AE,AMMETER,"90 D,144mmsq AC,SUP",410,332
AEAM91DL,AE,AMMETER,"90 D,144mmsq DC,LIN",745,604
AEAM97AL,AE,AMMETER,"90 D, 72mmsq AC,LIN",250,203
AEAM97AS,AE,AMMETER,"90 D, 72mmsq AC,SUP",265,215
AEAM97DL,AE,AMMETER,"90 D, 72mmsq DC,LIN",400,324
AEAM99AL,AE,AMMETER,"90 D, 96mmsq AC,LIN",280,227
AEAM99AS,AE,AMMETER,"90 D, 96mmsq AC,SUP",295,239
AEAM99DL,AE,AMMETER,"90 D, 96mmsq DC,LIN",430,349
AEAMDIAL,AE,AMMETER,"DIGITAL AC,LINEAR",1640,1329
AEAMDIDL,AE,AMMETER,"DIGITAL DC,LINEAR",1260,1021
AEFM2101,AE,FREQUENCY METER,"240 D,144mmsq,1 SCALE",1430,1159
AEFM2901,AE,FREQUENCY METER,"240 D, 96mmsq,1 SCALE",1290,1046
AEFMDI01,AE,FREQUENCY METER,DIGITAL,1640,1329
AEFMR101,AE,FREQUENCY METER,"13REED,144mmsq,1SCALE",770,624
AEFMR102,AE,FREQUENCY METER,"13REED,144mmsq,2SCALE",1600,1297
AEFMR901,AE,FREQUENCY METER,"13REED,96mmsq,1SCALE",630,511
