DMOD_CODE,DOTDESC,DOTCST
S100TP,"SFU D/O TERM. 100A ,TP",1148.00
S100TPN,"SFU D/O TERM. 100A ,TPN",1518.00
S150TP,"SFU D/O TERM. 150A ,TP",1218.00
S150TPN,"SFU D/O TERM. 150A ,TPN",1533.00
S250TP,"SFU D/O TERM. 250A ,TP",1973.00
S250TPN,"SFU D/O TERM. 250A ,TPN",1874.00
S400TP,"SFU D/O TERM. 400A ,TP",3434.00
S400TPN,"SFU D/O TERM. 400A ,TPN",2819.00
S630TP,"SFU D/O TERM. 630A ,TP",8050.00
S630TPN,"SFU D/O TERM. 630A ,TPN",10562.00
D100TP,"DOL D/O TERM. 100A ,TP",2183.00
D100TPN,"DOL D/O TERM. 100A ,TPN",2553.00
D150TP,"DOL D/O TERM. 150A ,TP",2253.00
D150TPN,"DOL D/O TERM. 150A ,TPN",2568.00
D250TP,"DOL D/O TERM. 250A ,TP",3008.00
D250TPN,"DOL D/O TERM. 250A ,TPN",2909.00
D400TP,"DOL D/O TERM. 400A ,TP",4469.00
D400TPN,"DOL D/O TERM. 400A ,TPN",3854.00
D630TP,"DOL D/O TERM. 630A ,TP",9085.00
D630TPN,"DOL D/O TERM. 630A ,TPN",11597.00
S100DP,"SFU D/O TERM. 100A ,DP",966.00
S150DP,"SFU D/O TERM. 150A ,DP",1611.00
S250DP,"SFU D/O TERM. 250A ,DP",1394.00
S400DP,"SFU D/O TERM. 400A ,DP",2441.00
S630DP,"SFU D/O TERM. 630A ,DP",6515.00
