CMOD_CD,COMP_CODE,COMP_QTY
1030F01,CGMB3050,1
1030F01,RCIL00SR,3
1030F01,EECF16NS,3
1030F02,CGMB3050,1
1030F02,RCIL00SR,3
1030F02,AEAM99AL,1
1030F02,KCAS1201,1
1030F02,INCM7504,3
1030F02,AEVM99AL,1
1030F02,KCVS1201,1
1030F02,EECF16NS,3
1030F03,CGMB3050,1
1030F03,RCIL00SR,3
1030F03,AEAM99AL,1
1030F03,KCAS1201,1
1030F03,INCM7504,3
1030F03,AEVM99AL,1
1030F03,KCVS1201,1
1030F03,EECF16NS,3
1030F03,GEWH3402,1
1030F04,CGMB3050,1
1030F04,RCIL00SR,3
1030F04,AEAM99AL,1
1030F04,KCAS1201,1
1030F04,INCM7504,3
1030F04,AEVM99AL,1
1030F04,KCVS1201,1
1030F04,EECF16NS,6
1030F04,GMPT5017,3
1060F01,CGMB6050,1
1060F01,RCIL00SR,3
1060F01,EECF16NS,3
1060F02,CGMB6050,1
1060F02,RCIL00SR,3
1060F02,AEAM99AL,1
1060F02,KCAS1201,1
1060F02,INCM7504,3
1060F02,AEVM99AL,1
1060F02,KCVS1201,1
1060F02,EECF16NS,3
1060F03,CGMB6050,1
1060F03,RCIL00SR,3
1060F03,AEAM99AL,1
1060F03,KCAS1201,1
1060F03,INCM7504,3
1060F03,AEVM99AL,1
1060F03,KCVS1201,1
1060F03,EECF16NS,3
1060F03,GEWH3402,1
1060F04,CGMB6050,1
1060F04,RCIL00SR,3
1060F04,AEAM99AL,1
1060F04,KCAS1201,1
1060F04,INCM7504,3
1060F04,AEVM99AL,1
1060F04,KCVS1201,1
1060F04,EECF16NS,6
1060F04,GMPT5017,3
1100F01,CGMB1150,1
1100F01,RCIL00SR,3
1100F01,EECF16NS,3
1100F02,CGMB1150,1
1100F02,RCIL00SR,3
1100F02,AEAM99AL,1
1100F02,KCAS1201,1
1100F02,INCM1104,3
1100F02,AEVM99AL,1
1100F02,KCVS1201,1
1100F02,EECF16NS,3
1100F03,CGMB1150,1
1100F03,RCIL00SR,3
1100F03,AEAM99AL,1
1100F03,KCAS1201,1
1100F03,INCM1104,3
1100F03,AEVM99AL,1
1100F03,KCVS1201,1
1100F03,EECF16NS,3
1100F03,GEWH3402,1
1100F04,CGMB1150,1
1100F04,RCIL00SR,3
1100F04,AEAM99AL,1
1100F04,KCAS1201,1
1100F04,INCM1104,3
1100F04,AEVM99AL,1
1100F04,KCVS1201,1
1100F04,EECF16NS,6
1100F04,GMPT5017,3
1101F01,CGMB1250,1
1101F01,RCIL00SR,3
1101F01,EECF16NS,3
1101F02,CGMB1250,1
1101F02,RCIL00SR,3
1101F02,AEAM99AL,1
1101F02,KCAS1201,1
1101F02,INCM1204,3
1101F02,AEVM99AL,1
1101F02,KCVS1201,1
1101F02,EECF16NS,3
1101F03,CGMB1250,1
1101F03,RCIL00SR,3
1101F03,AEAM99AL,1
1101F03,KCAS1201,1
1101F03,INCM1204,3
1101F03,AEVM99AL,1
1101F03,KCVS1201,1
1101F03,EECF16NS,3
1101F03,GEWH3402,1
1101F04,CGMB1250,1
1101F04,RCIL00SR,3
1101F04,AEAM99AL,1
1101F04,KCAS1201,1
1101F04,INCM1204,3
1101F04,AEVM99AL,1
1101F04,KCVS1201,1
1101F04,EECF16NS,6
1101F04,GMPT5017,3
1121F01,CGMB1450,1
1121F01,RCIL00SR,3
1121F01,EECF16NS,3
1121F02,CGMB1450,1
1121F02,RCIL00SR,3
1121F02,AEAM99AL,1
1121F02,KCAS1201,1
1121F02,INCM1404,3
1121F02,AEVM99AL,1
1121F02,KCVS1201,1
1121F02,EECF16NS,3
1121F03,CGMB1450,1
1121F03,RCIL00SR,3
1121F03,AEAM99AL,1
1121F03,KCAS1201,1
1121F03,INCM1404,3
1121F03,AEVM99AL,1
1121F03,KCVS1201,1
1121F03,EECF16NS,3
1121F03,GEWH3402,1
1121F04,CGMB1450,1
1121F04,RCIL00SR,3
1121F04,AEAM99AL,1
1121F04,KCAS1201,1
1121F04,INCM1404,3
1121F04,AEVM99AL,1
1121F04,KCVS1201,1
1121F04,EECF16NS,6
1121F04,GMPT5017,3
1200F01,CGMB2150,1
1200F01,RCIL00SR,3
1200F01,EECF16NS,3
1200F02,CGMB2150,1
1200F02,RCIL00SR,3
1200F02,AEAM99AL,1
1200F02,KCAS1201,1
1200F02,INCM2104,3
1200F02,AEVM99AL,1
1200F02,KCVS1201,1
1200F02,EECF16NS,3
1200F03,CGMB2150,1
1200F03,RCIL00SR,3
1200F03,AEAM99AL,1
1200F03,KCAS1201,1
1200F03,INCM2104,3
1200F03,AEVM99AL,1
1200F03,KCVS1201,1
1200F03,EECF16NS,3
1200F03,GEWH3402,1
1200F04,CGMB2150,1
1200F04,RCIL00SR,3
1200F04,AEAM99AL,1
1200F04,KCAS1201,1
1200F04,INCM2104,3
1200F04,AEVM99AL,1
1200F04,KCVS1201,1
1200F04,EECF16NS,6
1200F04,GMPT5017,3
1225F01,CGMB2350,1
1225F01,RCIL00SR,3
1225F01,EECF16NS,3
1225F02,CGMB2350,1
1225F02,RCIL00SR,3
1225F02,AEAM99AL,1
1225F02,KCAS1201,1
1225F02,INCM2604,3
1225F02,AEVM99AL,1
1225F02,KCVS1201,1
1225F02,EECF16NS,3
1225F03,CGMB2350,1
1225F03,RCIL00SR,3
1225F03,AEAM99AL,1
1225F03,KCAS1201,1
1225F03,INCM2604,3
1225F03,AEVM99AL,1
1225F03,KCVS1201,1
1225F03,EECF16NS,3
1225F03,GEWH3402,1
1225F04,CGMB2350,1
1225F04,RCIL00SR,3
1225F04,AEAM99AL,1
1225F04,KCAS1201,1
1225F04,INCM2604,3
1225F04,AEVM99AL,1
1225F04,KCVS1201,1
1225F04,EECF16NS,6
1225F04,GMPT5017,3
1250F01,CGMB2650,1
1250F01,RCIL00SR,3
1250F01,EECF16NS,3
1250F02,CGMB2650,1
1250F02,RCIL00SR,3
1250F02,AEAM99AL,1
1250F02,KCAS1201,1
1250F02,INCM2604,3
1250F02,AEVM99AL,1
1250F02,KCVS1201,1
1250F02,EECF16NS,3
1250F03,CGMB2650,1
1250F03,RCIL00SR,3
1250F03,AEAM99AL,1
1250F03,KCAS1201,1
1250F03,INCM2604,3
1250F03,AEVM99AL,1
1250F03,KCVS1201,1
1250F03,EECF16NS,3
1250F03,GEWH3402,1
1250F04,CGMB2650,1
1250F04,RCIL00SR,3
1250F04,AEAM99AL,1
1250F04,KCAS1201,1
1250F04,INCM2604,3
1250F04,AEVM99AL,1
1250F04,KCVS1201,1
1250F04,EECF16NS,6
1250F04,GMPT5017,3
1400F01,CGMB4150,1
1400F01,RCIL00SR,3
1400F01,EECF16NS,3
1400F02,CGMB4150,1
1400F02,RCIL00SR,3
1400F02,AEAM99AL,1
1400F02,KCAS1201,1
1400F02,INCM4104,3
1400F02,AEVM99AL,1
1400F02,KCVS1201,1
1400F02,EECF16NS,3
1400F03,CGMB4150,1
1400F03,RCIL00SR,3
1400F03,AEAM99AL,1
1400F03,KCAS1201,1
1400F03,INCM4104,3
1400F03,AEVM99AL,1
1400F03,KCVS1201,1
1400F03,EECF16NS,3
1400F03,GEWH3402,1
1400F04,CGMB4150,1
1400F04,RCIL00SR,3
1400F04,AEAM99AL,1
1400F04,KCAS1201,1
1400F04,INCM4104,3
1400F04,AEVM99AL,1
1400F04,KCVS1201,1
1400F04,EECF16NS,6
1400F04,GMPT5017,3
1600F01,CGMB6150,1
1600F01,RCIL00SR,3
1600F01,EECF16NS,3
1600F02,CGMB6150,1
1600F02,RCIL00SR,3
1600F02,AEAM99AL,1
1600F02,KCAS1201,1
1600F02,INCM6104,3
1600F02,AEVM99AL,1
1600F02,KCVS1201,1
1600F02,EECF16NS,3
1600F03,CGMB6150,1
1600F03,RCIL00SR,3
1600F03,AEAM99AL,1
1600F03,KCAS1201,1
1600F03,INCM6104,3
1600F03,AEVM99AL,1
1600F03,KCVS1201,1
1600F03,EECF16NS,3
1600F03,GEWH3402,1
1600F04,CGMB6150,1
1600F04,RCIL00SR,3
1600F04,AEAM99AL,1
1600F04,KCAS1201,1
1600F04,INCM6104,3
1600F04,AEVM99AL,1
1600F04,KCVS1201,1
1600F04,EECF16NS,6
1600F04,GMPT5017,3
1800F01,CGMB8150,1
1800F01,RCIL00SR,3
1800F01,EECF16NS,3
1800F02,CGMB8150,1
1800F02,RCIL00SR,3
1800F02,AEAM99AL,1
1800F02,KCAS1201,1
1800F02,INCM8104,3
1800F02,AEVM99AL,1
1800F02,KCVS1201,1
1800F02,EECF16NS,3
1800F03,CGMB8150,1
1800F03,RCIL00SR,3
1800F03,AEAM99AL,1
1800F03,KCAS1201,1
1800F03,INCM8104,3
1800F03,AEVM99AL,1
1800F03,KCVS1201,1
1800F03,EECF16NS,3
1800F03,GEWH3402,1
1800F04,CGMB8150,1
1800F04,RCIL00SR,3
1800F04,AEAM99AL,1
1800F04,KCAS1201,1
1800F04,INCM8104,3
1800F04,AEVM99AL,1
1800F04,KCVS1201,1
1800F04,EECF16NS,6
1800F04,GMPT5017,3
2030F01,CGMB3050,1
2060F01,CGMB6050,1
2100F01,CGMB1150,1
2101F01,CGMB1250,1
2121F01,CGMB1450,1
2200F01,CGMB2150,1
2225F01,CGMB2350,1
2250F01,CGMB2650,1
2400F01,CGMB4150,1
2600F01,CGMB6150,1
2800F01,CGMB8150,1
3030F01,CGMB3050,1
3030F02,CGMB3050,1
3030F02,AEAM99AL,1
3030F03,CGMB3050,1
3030F03,AEAM99AL,1
3030F03,INCM7504,1
3030F04,CGMB3050,1
3030F04,AEAM99AL,1
3030F04,KCAS1201,1
3030F04,INCM7504,3
3060F01,CGMB6050,1
3060F03,CGMB6050,1
3060F03,AEAM99AL,1
3060F03,INCM7504,1
3060F04,CGMB6050,1
3060F04,AEAM99AL,1
3060F04,KCAS1201,1
3060F04,INCM7504,3
3100F01,CGMB1150,1
3100F03,CGMB1150,1
3100F03,AEAM99AL,1
3100F03,INCM1104,1
3100F04,CGMB1150,1
3100F04,AEAM99AL,1
3100F04,KCAS1201,1
3100F04,INCM1104,3
3101F01,CGMB1250,1
3101F03,CGMB1250,1
3101F03,AEAM99AL,1
3101F03,INCM1204,1
3101F04,CGMB1250,1
3101F04,AEAM99AL,1
3101F04,KCAS1201,1
3101F04,INCM1204,3
3121F01,CGMB1450,1
3121F03,CGMB1450,1
3121F03,AEAM99AL,1
3121F03,INCM1404,1
3121F04,CGMB1450,1
3121F04,AEAM99AL,1
3121F04,KCAS1201,1
3121F04,INCM1404,3
3200F01,CGMB2150,1
3200F03,CGMB2150,1
3200F03,AEAM99AL,1
3200F03,INCM2104,1
3200F04,CGMB2150,1
3200F04,AEAM99AL,1
3200F04,KCAS1201,1
3200F04,INCM2104,3
3225F01,CGMB2350,1
3225F03,CGMB2350,1
3225F03,AEAM99AL,1
3225F03,INCM2604,1
3225F04,CGMB2350,1
3225F04,AEAM99AL,1
3225F04,KCAS1201,1
3225F04,INCM2604,3
3250F01,CGMB2650,1
3250F03,CGMB2650,1
3250F03,AEAM99AL,1
3250F03,INCM2604,1
3250F04,CGMB2650,1
3250F04,AEAM99AL,1
3250F04,KCAS1201,1
3250F04,INCM2604,3
3400F01,CGMB4150,1
3400F03,CGMB4150,1
3400F03,AEAM99AL,1
3400F03,INCM4104,1
