FCH_MCODE,MOD_RTG,MOD_RTGCO,UNITS
A,630,630,A
A,800,800,A
A,1000,101,A
A,1250,126,A
A,1600,161,A
A,2000,201,A
A,2500,251,A
A,3200,321,A
A,4000,401,A
B,630,630,A
B,800,800,A
B,1000,101,A
B,1250,126,A
B,1600,161,A
B,2000,201,A
B,2500,251,A
B,3200,321,A
B,4000,401,A
C,630,630,A
C,800,800,A
C,1000,101,A
C,1250,126,A
C,1600,161,A
C,2000,201,A
C,2500,251,A
C,3200,321,A
C,4000,401,A
S,32/32,032,A
S,63/63,063,A
S,125/125,125,A
S,250/250,250,A
S,400/400,400,A
S,630/630,630,A
S,800/800,800,A
F,32/32,032,A
F,63/63,063,A
F,125/125,125,A
F,250/250,250,A
F,400/400,400,A
F,630/630,630,A
F,800/800,800,A
U,32/32,032,A
U,63/63,063,A
U,125/125,125,A
U,250/250,250,A
U,400/400,400,A
U,630/630,630,A
U,800/800,800,A
1,100,100,A
1,200,200,A
1,225,225,A
1,250,250,A
1,400,400,A
1,600,600,A
1,800,800,A
2,100,100,A
2,200,200,A
2,225,225,A
2,250,250,A
2,400,400,A
2,600,600,A
2,800,800,A
3,100,100,A
3,200,200,A
3,225,225,A
3,250,250,A
3,400,400,A
3,600,600,A
3,800,800,A
I,40,040,A
I,63,063,A
I,125,125,A
I,200,200,A
I,250,250,A
I,400,400,A
I,630,630,A
I,800,800,A
I,1000,101,A
I,1250,126,A
O,40,040,A
O,63,063,A
O,125,125,A
O,200,200,A
O,250,250,A
O,400,400,A
O,630,630,A
O,800,800,A
O,1000,101,A
O,1250,126,A
L,40,040,A
L,63,063,A
L,125,125,A
L,200,200,A
L,250,250,A
L,400,400,A
L,630,630,A
L,800,800,A
L,1000,101,A
L,1250,126,A
T,50,50,VA
T,75,75,VA
T,100,11,VA
T,150,16,VA
T,200,21,VA
T,300,31,VA
T,400,41,VA
T,500,51,VA
T,600,61,VA
T,750,76,VA
T,1,12,KVA
T,1.25,14,KVA
T,1.5,17,KVA
T,2.0,22,KVA
T,2.5,27,KVA
T,3,32,KVA
T,3.5,37,KVA
T,4,42,KVA
T,5,52,KVA
T,6,62,KVA
T,7.5,77,KVA
T,10,13,KVA
P,15,15,VA
P,50,50,VA
P,100,11,VA
P,200,21,VA
Y,2.25,2P2,KW
Y,3.0,2P2,HP
Y,3.75,3P7,KW
Y,5.0,3P7,HP
Y,5.5,5P5,KW
Y,7.5,5P5,HP
Y,7.3,7P3,KW
Y,10,7P3,HP
Y,9.3,9P3,KW
Y,12.5,9P3,HP
Y,11,011,KW
Y,15,011,HP
Y,15,015,KW
Y,20,015,HP
Y,18.5,018,KW
Y,25,018,HP
Y,22,022,KW
Y,30,022,HP
Y,28,028,KW
Y,37,028,HP
Y,30,030,KW
Y,40,030,HP
Y,37,037,KW
Y,50,037,HP
Y,44,044,KW
Y,60,044,HP
Y,48,048,KW
Y,65,048,HP
Y,51,051,KW
Y,70,051,HP
Y,55,055,KW
Y,75,055,HP
Y,60.5,060,KW
Y,90,060,HP
Y,75,075,KW
Y,100,075,HP
Y,90,090,KW
Y,125,090,HP
Y,110,110,KW
Y,150,110,HP
Y,132,132,KW
Y,175,132,HP
Y,150,150,KW
Y,200,150,HP
Y,175,175,KW
Y,240,175,HP
Y,185,185,KW
Y,250,185,HP
Y,202,202,KW
Y,275,202,HP
Y,222,222,KW
Y,300,222,HP
D,0.12,P12,KW
D,0.16,P12,HP
D,0.18,P18,KW
D,0.24,P18,HP
D,0.25,P25,KW
D,0.34,P25,HP
D,0.37,P37,KW
D,0.5,P37,HP
D,0.55,P55,KW
D,0.75,P55,HP
D,0.75,P75,KW
D,1,P75,HP
D,0.92,P92,KW
D,1.25,P92,HP
D,1.1,1P1,KW
D,1.5,1P1,HP
D,1.3,1P3,KW
D,1.75,1P3,HP
D,1.5,1P5,KW
D,2,1P5,HP
D,1.8,1P8,KW
D,2.5,1P8,HP
D,2.25,2P2,KW
D,3,2P2,HP
D,3,003,KW
D,4,003,HP
D,3.75,3P7,KW
D,5,3P7,HP
D,4.6,4P6,KW
D,6,4P6,HP
D,5.5,5P5,KW
D,7.5,5P5,HP
D,6,006,KW
D,8,006,HP
D,6.5,6P5,KW
D,8.7,6P5,HP
D,7.5,7P5,KW
