CMOD_CD,SIZE_FIX,SIZE_DT
1100F01,1/4,1/4
1100F02,1/3,3/8
1100F03,1/2,1/2
1100F04,1/2,1/2
1200F01,3/8,3/8
1200F02,3/8,3/8
1200F03,1/2,1/2
1200F04,1/2,1/2
1225F01,3/8,3/8
1225F02,3/8,3/8
1225F03,1/2,1/2
1225F04,1/2,1/2
1250F01,1/2,1/2
1250F02,1/2,1/2
1250F03,3/4,3/4
1250F04,3/4,3/4
1400F01,1/2,1/2
1400F02,1/2,1/2
1400F03,3/4,3/4
1400F04,3/4,3/4
1600F01,1/2,1/2
1600F02,1/2,1/2
1600F03,3/4,3/4
1600F04,3/4,3/4
1800F01,1/2,
1800F02,1/2,
1800F03,3/4,
1800F04,3/4,
3100F01,1/6,1/6
3100F03,1/6,1/4
3100F04,1/4,1/4
3200F01,1/4,1/4
3200F03,1/4,1/4
3200F04,1/4,1/4
3225F01,1/4,1/4
3225F03,1/4,1/4
3225F04,1/4,1/4
3250F01,1/4,1/4
3250F03,1/3,1/3
3250F04,1/3,1/3
3400F01,1/3,1/3
3400F03,1/2,1/2
3400F04,1/2,1/2
3600F01,1/2,1/2
3600F03,1/2,1/2
3600F04,1/2,1/2
3800F01,1/2,
3800F03,1/2,
3800F04,1/2,
A101D31,,FULL
2101D32,,FULL
A101D33,,FULL
A101D34,,FULL
A101F35,FULL,
A101F36,FULL,
A101F37,FULL,
A101F38,FULL,
A126D31,,FULL
A126D32,,FULL
A126D33,,FULL
A126D34,,FULL
A126F35,FULL,
A126F36,FULL,
A126F37,FULL,
A126F38,FULL,
A161D31,,FULL
A161D32,,FULL
A161D33,,FULL
A161D34,,FULL
A161F35,FULL,
A161F36,FULL,
A161F37,FULL,
A161F38,FULL,
A201D31,,FULL+D
A201D32,,FULL+D
A201D33,,FULL+D
A201D34,,FULL+D
A201F35,FULL+D,
A201F36,FULL+D,
A201F37,FULL+D,
A201F38,FULL+D,
A251D31,,FULL+D
A251D32,,FULL+D
A251D33,,FULL+D
A251D34,,FULL+D
A251F35,FULL+D,
A251F36,FULL+D,
A251F37,FULL+D,
A251F38,FULL+D,
A321D31,,FULL+D
A321D32,,FULL+D
A321D33,,FULL+D
A321D34,,FULL+D
A321F35,FULL+D,
A321F36,FULL+D,
A321F37,FULL+D,
A321F38,FULL+D,
A401D31,,FULL+D
A401D32,,FULL+D
A401D33,,FULL+D
A401D34,,FULL+D
A401F35,FULL+D,
A401F36,FULL+D,
A401F37,FULL+D,
A401F38,FULL+D,
A630D31,,FULL
A630D32,,FULL
A630D33,,FULL
A630D34,,FULL
A630F35,FULL,
A630F36,FULL,
A630F37,FULL,
A630F38,FULL,
A800D31,,FULL
A800D32,,FULL
A800D33,,FULL
A800D34,,FULL
A800F35,FULL,
A800F36,FULL,
A800F37,FULL,
A800F38,FULL,
B800D31,,1/2
B800D32,,1/2
B800D33,,1/2
B800D34,,1/2
B800F35,1/2,
B800F36,1/2,
B800F37,1/2,
B800F38,1/2,
D003F01,1/6,1/6
D003F02,1/6,1/6
D003F03,1/4,1/4
D006F01,1/6,1/6
D006F02,1/6,1/6
D006F03,1/4,1/4
D011F01,1/6,1/6
D011F02,1/6,1/6
D011F03,1/4,1/4
D013F01,1/6,1/6
D013F02,1/6,1/6
D013F03,1/4,1/4
D015F01,1/6,1/6
D015F02,1/6,1/6
D015F03,1/4,1/4
D018F02,1/4,1/4
D018F03,1/4,1/4
D018F04,1/4,1/3
D018F05,1/3,1/3
D018F06,1/3,1/3
D022F02,1/4,1/4
D022F03,1/4,1/4
D022F04,1/4,1/3
D022F05,1/3,1/3
D022F06,1/3,1/3
D026F02,1/4,1/4
D026F03,1/4,1/4
D026F04,1/3,1/3
D026F05,1/3,1/3
D026F06,3/8,3/8
D030F02,1/4,1/4
D030F03,1/4,1/4
D030F04,1/3,1/3
D030F05,1/3,1/3
D030F06,3/8,3/8
D033F02,1/4,1/4
D033F03,1/4,1/4
D033F04,1/3,1/3
D033F05,1/3,1/3
D033F06,3/8,3/8
D037F02,1/3,1/3
D037F03,3/8,3/8
D037F04,3/8,3/8
D037F05,1/2,1/2
D037F06,1/2,1/2
D044F02,3/8,3/8
D044F03,3/8,3/8
D044F04,3/8,3/8
D044F05,1/2,3/8
D044F06,1/2,1/2
D055F02,1/2,1/2
D055F03,1/2,1/2
D055F04,1/2,1/2
D055F05,1/2,1/2
D055F06,3/4,3/4
D060F02,1/2,1/2
D060F03,1/2,1/2
D060F04,1/2,1/2
D060F05,1/2,1/2
D060F06,3/4,3/4
D075F02,3/4,3/4
D075F03,3/4,3/4
D075F04,3/4,3/4
D075F05,3/4,3/4
D075F06,3/4,3/4
D090F02,3/4,3/4
D090F03,3/4,3/4
D090F04,3/4,3/4
D090F05,3/4,3/4
D090F06,3/4,3/4
D095F02,3/4,3/4
D095F03,3/4,3/4
D095F04,3/4,3/4
D095F05,3/4,3/4
D095F06,3/4,3/4
D110F02,3/4,3/4
D110F03,3/4,3/4
D110F04,3/4,3/4
D110F05,3/4,3/4
D110F06,3/4,3/4
D132F02,3/4,3/4
D132F03,3/4,3/4
D132F04,3/4,3/4
D132F05,3/4,3/4
D132F06,3/4,3/4
D150F02,3/4,3/4
D150F03,3/4,3/4
D150F04,3/4,3/4
D150F05,3/4,3/4
D150F06,3/4,3/4
D168F02,3/4,3/4
D168F03,3/4,3/4
D168F04,3/4,3/4
D168F05,3/4,3/4
D168F06,3/4,3/4
D1P1F01,1/6,1/6
D1P1F02,1/6,1/6
D1P1F03,1/4,1/4
D1P3F01,1/6,1/6
D1P3F02,1/6,1/6
D1P3F03,1/4,1/4
D1P5F01,1/6,1/6
D1P5F02,1/6,1/6
D1P5F03,1/4,1/4
D1P8F01,1/6,1/6
D1P8F02,1/6,1/6
D1P8F03,1/4,1/4
D2P2F01,1/6,1/6
D2P2F02,1/6,1/6
D2P2F03,1/4,1/4
D3P7F01,1/6,1/6
D3P7F02,1/6,1/6
D3P7F03,1/4,1/4
D4P6F01,1/6,1/6
D4P6F02,1/6,1/6
D4P6F03,1/4,1/4
D5P5F01,1/6,1/6
D5P5F02,1/6,1/6
D5P5F03,1/4,1/4
D7P5F01,1/6,1/6
D7P5F02,1/6,1/6
D7P5F03,1/4,1/4
D9P3F01,1/6,1/6
D9P3F02,1/6,1/6
D9P3F03,1/4,1/4
DP75F01,1/6,1/6
DP75F02,1/6,1/6
DP75F03,1/4,1/4
DP92F01,1/6,1/6
DP92F02,1/6,1/6
DP92F03,1/4,1/4
F032F01,1/2,1/2
F063F01,1/2,1/2
F125F01,1/2,1/2
F250F01,1/2,1/2
F400F01,1/2,1/2
F630F01,1/2,1/2
F800F01,FULL,
H003F01,1/6,1/6
H003F02,1/6,1/6
H003F03,1/6,1/6
H006F01,1/6,1/6
H006F02,1/6,1/6
H006F03,1/6,1/6
H011F01,1/6,1/6
H011F02,1/6,1/6
H011F03,1/6,1/6
H013F01,1/6,1/6
H013F02,1/6,1/6
H013F03,1/6,1/6
H015F01,1/6,1/6
H015F02,1/6,1/6
H015F03,1/3,1/3
H018F01,1/6,1/6
H018F02,1/6,1/6
H018F03,1/6,1/6
H018F04,1/4,1/4
H022F01,1/6,1/6
H022F02,1/6,1/6
H022F03,1/6,1/6
H022F04,1/4,1/4
H026F01,1/6,1/6
H026F02,1/6,1/6
H026F03,1/6,1/6
H026F04,1/4,1/4
H033F01,1/4,1/4
H033F02,1/4,1/4
H033F03,1/4,1/4
H033F04,1/4,1/4
H1P5F01,1/6,1/6
H1P5F02,1/6,1/6
H1P5F03,1/6,1/6
H3P7F01,1/6,1/6
H3P7F02,1/6,1/6
H3P7F03,1/6,1/6
H4P6F01,1/6,1/6
H4P6F02,1/6,1/6
H4P6F03,1/6,1/6
H7P5F01,1/6,1/6
H7P5F02,1/6,1/6
H7P5F03,1/6,1/6
H9P3F01,1/6,1/6
H9P3F02,1/6,1/6
H9P3F03,1/6,1/6
HP92F01,1/6,1/6
HP92F02,1/6,1/6
HP92F03,1/6,1/6
P211F01,1/4,
P215F01,1/4,
P221F01,1/3,
P250F01,1/4,
P311F01,1/4,
P315F01,1/4,
P321F01,1/3,
P350F01,1/4,
R003F01,1/6,1/6
R003F02,1/6,1/6
R003F03,1/4,1/4
R006F01,1/6,1/6
R006F02,1/6,1/6
R006F03,1/4,1/4
R011F01,1/4,1/4
R011F02,1/4,1/4
R011F03,1/4,1/4
R013F01,1/4,1/4
R013F02,1/4,1/4
R013F03,1/4,1/4
R015F01,1/4,1/4
R015F02,1/4,1/4
R015F03,1/3,1/3
R018F02,1/4,1/4
R018F03,1/4,1/4
R018F04,1/3,1/3
R018F05,3/8,3/8
R018F06,1/2,1/2
R022F02,1/4,1/4
R022F03,1/4,1/4
R022F04,3/8,3/8
R022F05,1/2,1/2
R022F06,1/2,1/2
R026F02,1/3,1/3
R026F03,3/8,3/8
R026F04,3/8,3/8
R026F05,1/2,1/2
R026F06,1/2,1/2
R030F02,1/3,1/3
R030F03,3/8,3/8
R030F04,1/2,1/2
R030F05,1/2,1/2
R030F06,1/2,1/2
R033F02,1/3,1/3
R033F03,3/8,3/8
R033F04,1/2,1/2
R033F05,1/2,1/2
R033F06,1/2,1/2
R037F02,1/3,1/3
R037F03,3/8,3/8
R037F04,1/2,1/2
R037F05,1/2,1/2
R037F06,1/2,1/2
R044F02,1/2,1/2
R044F03,1/2,1/2
R044F04,1/2,1/2
R044F05,3/4,3/4
R044F06,3/4,3/4
R055F02,1/2,1/2
R055F03,1/2,1/2
R055F04,1/2,1/2
R055F05,3/4,3/4
R055F06,3/4,3/4
R060F02,1/2,1/2
R060F03,1/2,1/2
R060F04,1/2,1/2
R060F05,3/4,3/4
R060F06,3/4,3/4
R075F02,3/4,3/4
R075F03,3/4,3/4
R075F04,3/4,3/4
R075F05,3/4,3/4
R075F06,3/4,3/4
R090F02,3/4,3/4
R090F03,3/4,3/4
R090F04,3/4,3/4
R090F05,3/4,3/4
R090F06,3/4,3/4
R095F02,3/4,3/4
R095F03,3/4,3/4
R095F04,3/4,3/4
R095F05,3/4,3/4
R095F06,3/4,3/4
R110F02,3/4,3/4
R110F03,3/4,3/4
R110F04,3/4,3/4
R110F05,3/4,3/4
R110F06,3/4,3/4
R132F02,3/4,3/4
R132F03,3/4,3/4
R132F04,3/4,3/4
R132F05,3/4,3/4
R132F06,3/4,3/4
R150F02,3/4,3/4
R150F03,3/4,3/4
R150F04,3/4,3/4
R150F05,3/4,3/4
R150F06,3/4,3/4
R168F02,3/4,3/4
R168F03,3/4,3/4
R168F04,3/4,3/4
R168F05,3/4,3/4
R168F06,3/4,3/4
R1P1F01,1/6,1/6
R1P1F02,1/6,1/6
R1P1F03,1/4,1/4
R1P3F01,1/6,1/6
R1P3F02,1/6,1/6
R1P3F03,1/4,1/4
R1P5F01,1/6,1/6
R1P5F02,1/6,1/6
R1P5F03,1/4,1/4
R1P8F01,1/6,1/6
R1P8F02,1/6,1/6
R1P8F03,1/4,1/4
R2P2F01,1/6,1/6
R2P2F02,1/6,1/6
R2P2F03,1/4,1/4
R3P7F01,1/6,1/6
R3P7F02,1/6,1/6
R3P7F03,1/4,1/4
R4P6F01,1/6,1/6
R4P6F02,1/6,1/6
R4P6F03,1/4,1/4
R5P5F01,1/6,1/6
R5P5F02,1/6,1/6
R5P5F03,1/4,1/4
R7P5F01,1/6,1/6
R7P5F02,1/6,1/6
R7P5F03,1/4,1/4
R9P3F01,1/4,1/4
R9P3F02,1/4,1/4
R9P3F03,1/4,1/4
RP75F01,1/6,1/6
RP75F02,1/6,1/6
RP75F03,1/4,1/4
RP92F01,1/6,1/6
RP92F02,1/6,1/6
RP92F03,1/4,1/4
S032F01,1/4,1/4
S032F02,3/8,3/8
S032F03,1/2,1/2
S032F04,1/2,1/2
S063F01,1/4,1/4
S063F02,3/8,3/8
S063F03,1/2,1/2
S063F04,1/2,1/2
S125F01,1/4,1/4
S125F02,3/8,3/8
S125F03,1/2,1/2
S125F04,1/2,1/2
S250F01,1/2,1/2
S250F02,1/2,1/2
S250F03,3/4,3/4
S250F04,3/4,3/4
S400F01,1/2,1/2
S400F02,1/2,1/2
S400F03,3/4,3/4
S400F04,3/4,3/4
S630F01,1/2,1/2
S630F02,1/2,1/2
S630F03,3/4,3/4
S630F04,3/4,3/4
S800F01,1/2,
S800F02,1/2,
S800F03,3/4,
S800F04,3/4,
TA11F01,1/6,1/6
TA11F02,1/6,1/6
TA12F01,1/6,1/6
TA12F02,1/6,1/6
TA13F01,1/2,
TA13F02,1/2,
TA14F01,1/4,1/4
TA14F02,1/4,1/4
TA16F01,1/6,1/6
TA16F02,1/6,1/6
TA17F01,1/4,1/4
TA17F02,1/4,1/4
TA21F01,1/6,1/6
TA21F02,1/6,1/6
TA22F01,1/4,1/4
TA22F02,1/4,1/4
TA27F01,1/4,
TA27F02,1/4,
TA31F01,1/6,1/6
TA31F02,1/6,1/6
TA32F01,1/4,
TA32F02,1/4,
TA37F01,1/3,
TA37F02,1/3,
TA41F01,1/6,1/6
TA41F02,1/6,1/6
TA42F01,1/3,
TA42F02,1/3,
TA50F01,1/6,1/6
TA50F02,1/6,1/6
TA51F01,1/6,1/6
TA51F02,1/6,1/6
TA52F01,1/3,
TA52F02,1/3,
TA61F01,1/6,1/6
TA61F02,1/6,1/6
TA62F01,1/2,
TA62F02,1/2,
TA75F01,1/6,1/6
TA75F02,1/6,1/6
TA76F01,1/6,1/6
TA76F02,1/6,1/6
TA77F01,1/2,
TA77F02,1/2,
TB11F01,1/6,1/6
TB11F02,1/6,1/6
TB12F01,1/6,1/6
TB12F02,1/6,1/6
TB13F01,1/2,
TB13F02,1/2,
TB14F01,1/4,1/4
TB14F02,1/4,1/4
TB16F01,1/6,1/6
TB16F02,1/6,1/6
TB17F01,1/4,1/4
TB17F02,1/4,1/4
TB21F01,1/6,1/6
TB21F02,1/6,1/6
TB22F01,1/4,1/4
TB22F02,1/4,1/4
TB27F01,1/4,
TB27F02,1/4,
TB31F01,1/6,1/6
TB31F02,1/6,1/6
TB32F01,1/4,
TB32F02,1/4,
TB37F01,1/3,
TB37F02,1/3,
TB41F01,1/6,1/6
TB41F02,1/6,1/6
TB42F01,1/3,
TB42F02,1/3,
TB50F01,1/6,1/6
TB50F02,1/6,1/6
TB51F01,1/6,1/6
TB51F02,1/6,1/6
TB52F01,1/3,
TB52F02,1/3,
TB61F01,1/6,1/6
TB61F02,1/6,1/6
TB62F01,1/2,
TB62F02,1/2,
TB75F01,1/6,1/6
TB75F02,1/6,1/6
TB76F01,1/6,1/6
TB76F02,1/6,1/6
TB77F01,1/2,
TB77F02,1/2,
TC11F01,1/6,1/6
TC11F02,1/6,1/6
TC12F01,1/6,1/6
TC12F02,1/6,1/6
TC13F01,1/2,
TC13F02,1/2,
TC14F01,1/4,1/4
TC14F02,1/4,1/4
TC16F01,1/6,1/6
TC16F02,1/6,1/6
TC17F01,1/4,1/4
TC17F02,1/4,1/4
TC21F01,1/6,1/6
TC21F02,1/6,1/6
TC22F01,1/4,1/4
TC22F02,1/4,1/4
TC27F01,1/4,
TC27F02,1/4,
TC31F01,1/6,1/6
TC31F02,1/6,1/6
TC32F01,1/4,
TC32F02,1/4,
TC37F01,1/3,
TC37F02,1/3,
TC41F01,1/6,1/6
TC41F02,1/6,1/6
TC42F01,1/3,
TC42F02,1/3,
TC50F01,1/6,1/6
TC50F02,1/6,1/6
TC51F01,1/6,1/6
TC51F02,1/6,1/6
TC52F01,1/3,
TC52F02,1/3,
TC61F01,1/6,1/6
TC61F02,1/6,1/6
TC62F01,1/2,
TC62F02,1/2,
TC75F01,1/6,1/6
TC75F02,1/6,1/6
TC76F01,1/6,1/6
TC76F02,1/6,1/6
TC77F01,1/2,
TC77F02,1/2,
TD11F01,1/6,1/6
TD11F02,1/6,1/6
TD12F01,1/6,1/6
TD12F02,1/6,1/6
TD13F01,1/2,
TD13F02,1/2,
TD14F01,1/4,1/4
