NBS,NBC,FBC_TYPE,SBC_TYPE,NIC,IC_TYPEM,IC_TYPEP,SEQUENCE
1,0,,,0,,,"O1P,A1M"
1,0,,,1,,P,"I1P,O1P,A1M"
1,0,,,1,M,,"O1P,A1F"
1,0,,,2,,P,"I1P,O1P,A1M,I2P"
1,0,,,2,M,,A1B
1,0,,,2,M,P,"I1P,O1P,A1L"
1,1,P,,0,,,"B1P,O1P,A1M"
1,1,P,,1,,P,"B1P,I1P,O1P,A1M"
1,1,P,,1,M,,"A1F,O1P,B1P"
1,1,P,,2,,P,"I1P,O1P,A1M,I2P,B1P"
1,1,P,,2,M,,"O1P,A1B,B1M"
1,1,P,,2,M,P,"B1P,I1P,O1P,A1L"
1,1,M,,0,,,"B1P,O1P,A1M"
1,1,M,,1,,P,"I1P,O1P,A1M,B1M"
1,1,M,,1,M,,"B1M,A1F,O1P"
1,1,M,,2,,P,"B1M,I1P,O1P,A1M,I2P"
1,1,M,,2,M,,"O1P,A1B,B1M"
1,1,M,,2,M,P,"I1P,O1P,A1L,B1M"
2,1,P,,0,,,"A1L,O1P,I1P,B1P,I2P,O2P,A2F"
2,1,M,,0,,,"O1P,I1P,A1L,B1M,A2F,I2P,O2P"
2,2,P,P,0,,,"A1L,O1P,I1P,B1P,I2P,O2P,A2F,B2P"
2,2,P,M,0,,,"A1L,O1P,I1P,B1P,I2P,O2P,A2F,B2M"
2,2,M,P,0,,,"O1P,I1P,A1L,B1M,A2F,I2P,O2P,B2P"
2,2,M,M,0,,,"O1P,I1P,A1L,B1M,A2F,I2P,O2P,B2M"
3,2,P,P,0,,,"A1L,O1P,I1P,B1P,I2P,O2P,A2F,B2P,I3P,O3P,A3L"
3,2,P,M,0,,,"A1L,O1P,I1P,B1P,I2P,O2P,A2L,B2M,A3F,O3P,I3P"
3,2,M,P,0,,,"O1P,I1P,A1L,B1M,A2F,I2P,O2P,B2P,I3P,O3P,A3F"
3,2,M,M,0,,,"O1P,I1P,A1L,B1M,A2F,I2P,O2P,B2M,A3F,O3P,I3P"
3,3,P,P,0,,P,"A1L,O1P,I1P,B1P,I2P,O2P,A2F,B2P,I3P,O3P,A3L,B3P"
3,3,P,P,0,M,,"A1L,O1P,I1P,B1P,I2P,O2P,A2F,B2P,I3P,O3P,A3L,B3M"
3,3,P,M,0,,P,"A1L,O1P,I1P,B1P,I2P,O2P,A2L,B2M,A3F,O3P,I3P,B3P"
3,3,P,M,0,M,,"A1L,O1P,I1P,B1P,I2P,O2P,A2L,B2M,A3F,O3P,I3P,B3M"
3,3,M,P,0,,P,"O1P,I1P,A1L,B1M,A2F,I2P,O2P,B2P,I3P,O3P,A3F,B3P"
3,3,M,P,0,M,,"O1P,I1P,A1L,B1M,A2F,I2P,O2P,B2P,I3P,O3P,A3F,B3M"
3,3,M,M,0,,P,"O1P,I1P,A1L,B1M,A2F,I2P,O2P,B2M,A3F,O3P,I3P,B3P"
3,3,M,M,0,M,,"O1P,I1P,A1L,B1M,A2F,I2P,O2P,B2M,A3F,O3P,I3P,B3M"
2,0,,,0,,,"O1P,A1M,O2P,A2M"
