WMOD_CODE,WDESC,WBCST,WCCST,WLABOUR
S032,"SFU ,  32A",312.50,425.00,62.50
S063,"SFU ,  63A",587.50,425.00,62.50
S125,"SFU , 125A",1287.50,425.00,62.50
S250,"SFU , 250A",2162.50,425.00,75.00
S400,"SFU , 400A",4187.50,425.00,75.00
S630,"SFU , 630A",8212.50,425.00,75.00
S800,"SFU , 800A",8925.00,425.00,75.00
A001,"ACB , ELECT.",4450.00,500.00,750.00
A005,"ACB , MANUAL",1987.50,500.00,750.00
D001,"STARTER , UPTO 11KW",1387.50,0.00,575.00
D002,"STARTER , ABOVE 11KW",1800.00,0.00,575.00
T,"C/TRF,",737.50,0.00,75.00
U032,"SFU ,  32A",312.50,425.00,62.50
U063,"SFU ,  63A",587.50,425.00,62.50
U125,"SFU , 125A",1287.50,425.00,62.50
U250,"SFU , 250A",2162.50,425.00,75.00
U400,"SFU , 400A",4187.50,425.00,75.00
U630,"SFU , 630A",8212.50,425.00,75.00
U800,"SFU , 800A",8925.00,425.00,75.00
I040,"IOL ,  40A",587.50,425.00,62.50
I063,"IOL ,  63A",587.50,425.00,62.50
I125,"IOL , 125A",1287.50,425.00,62.50
I250,"IOL , 250A",2175.00,425.00,62.50
I400,"IOL , 400A",4187.50,425.00,75.00
I630,"IOL , 630A",8212.50,425.00,75.00
I800,"IOL , 800A",8875.00,425.00,125.00
I101,"IOL , 1000A",9875.00,425.00,125.00
I126,"IOL , 1250A",11125.00,425.00,125.00
I200,"IOL , 200A",2175.00,425.00,62.50
I161,"IOL , 1600A",12375.00,425.00,125.00
P,POT. T/F,475.00,625.00,150.00
1030,"MCCB, 30A",312.50,425.00,62.50
1060,"MCCB, 60A",587.50,425.00,62.50
1100,"MCCB, 100A",1287.50,425.00,62.50
1200,"MCCB, 200A",2175.00,425.00,62.50
1225,"MCCB, 225A",2162.50,425.00,75.00
1250,"MCCB, 250A",2162.50,425.00,75.00
1400,"MCCB, 400A",4187.50,425.00,75.00
1600,"MCCB, 600A",8212.50,425.00,75.00
1800,"MCCB, 800A",8875.00,425.00,125.00
1101,"MCCB, 1000A",9875.00,425.00,125.00
1121,"MCCB, 1200A",11125.00,425.00,125.00
